image,filter,psnr,ssim
01127.jpg,gamma,19.6056,0.4481
01128.jpg,lee,16.7489,0.2540
01128.jpg,frost,18.7725,0.3115
01128.jpg,gamma,22.3193,0.4431
01129.jpg,lee,17.3966,0.1503
01129.jpg,frost,19.6165,0.2200
01129.jpg,gamma,25.3012,0.4688
01130.jpg,lee,16.1714,0.2148
01130.jpg,frost,18.1754,0.2800
01130.jpg,gamma,21.8087,0.4910
01131.jpg,lee,15.6878,0.1949
01131.jpg,frost,17.8499,0.2711
01131.jpg,gamma,22.4601,0.4451
01132.jpg,lee,15.9641,0.2156
01132.jpg,frost,18.0185,0.2775
01132.jpg,gamma,21.8773,0.4683
01133.jpg,lee,16.7716,0.2526
01133.jpg,frost,18.6425,0.3133
01133.jpg,gamma,21.6131,0.4331
01134.jpg,lee,14.9744,0.0863
01134.jpg,frost,17.3845,0.1405
01134.jpg,gamma,23.0447,0.3656
01135.jpg,lee,14.3052,0.1119
01135.jpg,frost,16.6290,0.1688
01135.jpg,gamma,20.7577,0.3069
01136.jpg,lee,16.9301,0.3280
01136.jpg,frost,18.9265,0.3950
01136.jpg,gamma,22.1736,0.4678
01137.jpg,lee,17.3021,0.2656
01137.jpg,frost,19.4482,0.3358
01137.jpg,gamma,23.5578,0.4618
01138.jpg,lee,15.2537,0.1075
01138.jpg,frost,17.6144,0.1641
01138.jpg,gamma,23.3296,0.3714
01139.jpg,lee,13.0346,0.1341
01139.jpg,frost,15.0062,0.2055
01139.jpg,gamma,17.3231,0.3238
01140.jpg,lee,17.1491,0.2367
01140.jpg,frost,19.2482,0.3018
01140.jpg,gamma,23.3598,0.4762
01141.jpg,lee,16.5509,0.2626
01141.jpg,frost,18.6790,0.3206
01141.jpg,gamma,22.3029,0.4575
01142.jpg,lee,14.9806,0.2570
01142.jpg,frost,17.0830,0.3335
01142.jpg,gamma,20.2884,0.3790
01143.jpg,lee,14.8033,0.2213
01143.jpg,frost,16.7701,0.2891
01143.jpg,gamma,19.9537,0.4232
01144.jpg,lee,15.6170,0.1728
01144.jpg,frost,17.9234,0.2477
01144.jpg,gamma,22.5631,0.4355
01145.jpg,lee,15.2336,0.1886
01145.jpg,frost,17.3785,0.2641
01145.jpg,gamma,21.3161,0.4301
01146.jpg,lee,15.8648,0.0946
01146.jpg,frost,18.2042,0.1495
01146.jpg,gamma,24.3567,0.3867
01147.jpg,lee,12.4711,0.1096
01147.jpg,frost,14.2729,0.1675
01147.jpg,gamma,16.2446,0.2903
01148.jpg,lee,14.9759,0.2115
01148.jpg,frost,17.0414,0.2778
01148.jpg,gamma,20.1369,0.3783
01149.jpg,lee,14.3628,0.1516
01149.jpg,frost,16.5608,0.2221
01149.jpg,gamma,20.0749,0.3335
01150.jpg,lee,14.9008,0.2510
01150.jpg,frost,16.6767,0.3154
01150.jpg,gamma,19.2262,0.3701
01151.jpg,lee,14.7342,0.1614
01151.jpg,frost,16.8969,0.2340
01151.jpg,gamma,20.5538,0.3850
01152.jpg,lee,13.3958,0.1716
01152.jpg,frost,15.2127,0.2380
01152.jpg,gamma,17.4999,0.3754
01153.jpg,lee,14.3363,0.1768
01153.jpg,frost,16.4724,0.2511
01153.jpg,gamma,19.7783,0.3640
01154.jpg,lee,14.3141,0.1712
01154.jpg,frost,16.4360,0.2427
01154.jpg,gamma,19.7559,0.3879
01155.jpg,lee,16.9420,0.3426
01155.jpg,frost,18.9717,0.4063
01155.jpg,gamma,22.4658,0.5051
01156.jpg,lee,13.9950,0.3007
01156.jpg,frost,15.2302,0.3513
01156.jpg,gamma,16.4712,0.4441
01157.jpg,lee,15.6447,0.2950
01157.jpg,frost,17.6851,0.3772
01157.jpg,gamma,20.7332,0.4329
01158.jpg,lee,17.6878,0.3011
01158.jpg,frost,19.8402,0.3678
01158.jpg,gamma,23.9690,0.5052
01159.jpg,lee,18.2844,0.1926
01159.jpg,frost,20.6055,0.2468
01159.jpg,gamma,25.3369,0.5232
01160.jpg,lee,15.2162,0.1862
01160.jpg,frost,17.4773,0.2625
01160.jpg,gamma,21.6768,0.4213
01161.jpg,lee,13.5983,0.1382
01161.jpg,frost,15.3521,0.2000
01161.jpg,gamma,17.8122,0.3689
01162.jpg,lee,15.9787,0.3008
01162.jpg,frost,17.9579,0.3693
01162.jpg,gamma,21.0196,0.4384
01163.jpg,lee,14.7666,0.1363
01163.jpg,frost,16.7901,0.1980
01163.jpg,gamma,20.6421,0.3636
01164.jpg,lee,16.6919,0.1230
01164.jpg,frost,18.9462,0.1823
01164.jpg,gamma,24.5392,0.4326
01165.jpg,lee,15.3087,0.1770
01165.jpg,frost,17.5888,0.2549
01165.jpg,gamma,21.9081,0.3790
01166.jpg,lee,13.3623,0.1149
01166.jpg,frost,15.3712,0.1715
01166.jpg,gamma,18.0173,0.3193
01167.jpg,lee,16.4358,0.2178
01167.jpg,frost,18.5842,0.2922
01167.jpg,gamma,22.9411,0.4466
01168.jpg,lee,15.4873,0.1478
01168.jpg,frost,17.6736,0.2075
01168.jpg,gamma,22.0859,0.3800
01169.jpg,lee,15.7193,0.2375
01169.jpg,frost,17.7486,0.3077
01169.jpg,gamma,21.2856,0.4124
01170.jpg,lee,16.3089,0.3171
01170.jpg,frost,18.2635,0.3720
01170.jpg,gamma,20.9495,0.4644
01171.jpg,lee,17.3543,0.2961
01171.jpg,frost,19.6075,0.3431
01171.jpg,gamma,23.9950,0.5560
01172.jpg,lee,15.2912,0.1246
01172.jpg,frost,17.6022,0.1837
01172.jpg,gamma,22.3934,0.3681
01173.jpg,lee,16.0685,0.1844
01173.jpg,frost,18.3851,0.2637
01173.jpg,gamma,23.4400,0.4755
01174.jpg,lee,16.6646,0.2057
01174.jpg,frost,18.6842,0.2726
01174.jpg,gamma,22.1532,0.4998
01175.jpg,lee,13.8458,0.1182
01175.jpg,frost,15.7703,0.1804
01175.jpg,gamma,18.5859,0.3477
01176.jpg,lee,14.6221,0.1573
01176.jpg,frost,16.8290,0.2075
01176.jpg,gamma,20.8814,0.3304
01177.jpg,lee,16.0672,0.2311
01177.jpg,frost,18.1071,0.2982
01177.jpg,gamma,21.7999,0.4139
01178.jpg,lee,15.4008,0.2061
01178.jpg,frost,17.4166,0.2715
